old_CID,STITCH_CID,CID,pub_chem_CID
CID100003783,CID000003783,3783,100003783
CID100003784,CID000003784,3784,100003784
CID100003793,CID000055283,55283,100003793
CID100003821,CID000003821,3821,100003821
CID100003823,CID000456201,456201,100003823
CID100003825,CID000003825,3825,100003825
CID100003826,CID000003826,3826,100003826
CID100003827,CID000003827,3827,100003827
CID100003830,CID000003830,3830,100003830
CID100003848,CID000003848,3848,100003848
CID100003869,CID000003869,3869,100003869
CID100003872,CID000011333,11333,100003872
CID100003877,CID000060825,60825,100003877
CID100003878,CID000003878,3878,100003878
CID100003883,CID000003883,3883,100003883
CID100003883,CID009578005,9578005,100003883
CID100003890,CID005282380,5282380,100003890
CID100003890,CID005311221,5311221,100003890
CID100003899,CID000003899,3899,100003899
CID100003902,CID000003902,3902,100003902
CID100003911,CID000657180,657180,100003911
CID100003914,CID000039468,39468,100003914
CID100003915,CID000054384,54384,100003915
CID100003916,CID000072286,72286,100003916
CID100003918,CID005359272,5359272,100003918
CID100003928,CID000064710,64710,100003928
CID100003929,CID000441401,441401,100003929
CID100003937,CID005362118,5362118,100003937
CID100003938,CID000028864,28864,100003938
CID100003939,CID000003939,3939,100003939
CID100003948,CID000003948,3948,100003948
CID100003950,CID000003950,3950,100003950
CID100003954,CID000003954,3954,100003954
CID100003957,CID000003957,3957,100003957
CID100003958,CID000003958,3958,100003958
CID100003961,CID000003961,3961,100003961
CID100003962,CID000053232,53232,100003962
CID100003964,CID000003964,3964,100003964
CID100003998,CID000003998,3998,100003998
CID100004004,CID000004004,4004,100004004
CID100004011,CID000004011,4011,100004011
CID100004030,CID000004030,4030,100004030
CID100004031,CID000004031,4031,100004031
CID100004032,CID000004032,4032,100004032
CID100004033,CID000004033,4033,100004033
CID100004034,CID000004034,4034,100004034
CID100004036,CID000004036,4036,100004036
CID100004042,CID000006279,6279,100004042
CID100004043,CID000247839,247839,100004043
CID100004044,CID000004044,4044,100004044
CID100004046,CID000040692,40692,100004046
CID100004048,CID000011683,11683,100004048
CID100004051,CID000004051,4051,100004051
